district,province,illit_m,read_m,write_m,illit_f,read_f,write_f
Caldas,Pontevedra,8836,917,6870,21355,368,504
Callosa de Ensarriá,Alicante,13658,457,1726,14969,402,393
Cambados,Pontevedra,11370,783,5136,21791,399,1019
Campillos,Málaga,10767,198,2401,11720,288,1015
Cangas de Onís,Oviedo,6740,658,6419,14818,918,954
Cangas de Tineo,Oviedo,13247,1052,9158,26875,335,551
Canjáyar,Almería,12301,699,3543,15483,581,901
Caravaca,Murcia,15636,389,2630,17634,459,765
Carballino,Orense,13892,876,5721,22156,371,348
Carballo,Coruña,13618,671,4804,23100,304,303
Carlet,Valencia,9034,269,1491,9948,337,309
Carmona,Sevilla,9483,262,2754,9242,398,1726
Carrión de los Condes,Palencia,4327,779,6822,7436,2173,1701
Cartagena,Murcia,26986,1001,9721,27196,861,3412
Casas-Ibáñez,Albacete,9995,335,3270,12915,434,745
Caspe,Zaragoza,11216,341,2749,13741,267,385
Castellote,Teruel,9096,429,3095,12499,313,439
Castellón,Castellón,14811,543,2948,17176,413,1012
Castro del Río,Córdoba,5612,285,1597,6911,287,525
Castro-Urdiales,Santander,2385,218,2228,4051,340,958
Castrojeriz,Burgos,4797,683,6853,9174,1603,1358
Castropol,Oviedo,10348,860,7840,20971,1072,2039
Castuera,Badajoz,12217,673,3320,14765,850,936
Cazalla de la Sierra,Sevilla,12110,1108,2690,11531,933,1376
Cazorla,Jaén,9006,228,3235,9048,167,2548
Cañete,Cuenca,8917,566,3780,12342,364,336
Cebreros,Ávila,7860,602,3919,9834,889,606
Celanova,Orense,11982,902,5814,20089,530,368
Cervera,Lérida,14496,879,6357,19536,605,1220
Cervera de Pisuerga,Palencia,5093,1122,9493,12598,1737,1586
Cervera de Río Alhama,Logroño,3202,243,2537,5414,321,732
Chantada,Lugo,15035,1025,6920,24790,289,407
Chelva,Valencia,10019,524,2478,12143,273,354
Chiclana,Cádiz,9724,342,2028,9150,744,1489
Chinchilla,Albacete,10163,303,2275,11896,208,616
Chinchón,Madrid,13905,666,6542,16629,889,1801
Chiva,Valencia,9810,322,2405,11030,247,524
Cieza,Murcia,11713,319,2254,14085,345,599
Cifuentes,Guadalajara,4419,468,4379,7777,656,400
Ciudad Real,Ciudad Real,8835,394,4291,11365,577,1483
Ciudad-Rodrigo,Salamanca,12750,1465,7394,18284,1295,1295
Cocentaina,Alicante,10799,319,1859,12038,315,386
